───────────────────────────────────────────────────────────────────────────────
Language            Files       Lines    Blanks  Comments       Code Complexity
~dules\stack-utils\index.js       344        67        23        254         56
~picomatch\lib\picomatch.js       342        48       157        137         45
~onfig\build\ValidConfig.js       342         2         6        334          0
~hot\build\printSnapshot.js       340         8        27        305         34
~_modules\fast-uri\index.js       340        37        52        251        100
~l\missing-plugin-helper.js       339         2         1        336          5
~build\crawlers\watchman.js       339         9        46        284         57
~ules\func-name-matching.js       338        29        56        253         39
~ode_modules\jsesc\jsesc.js       337        10         5        322         15
~\lib\languages\js\index.js       336        43       113        180         13
~ules\fast-uri\lib\utils.js       336         7        16        313         15
~jv\lib\dotjs\properties.js       335         1         2        332        107
~jv\lib\dotjs\properties.js       335         1         2        332        107
~modules\lru-cache\index.js       334        52        22        260         60
~orm-typescript\lib\enum.js       334         2         1        331         58
~r\source-code-traverser.js       333        42       129        162         20
~s\semver\classes\semver.js       333        31        30        272         87
~dules\resolve\lib\async.js       333        41         2        290        105
~\eslint\lib\rules\index.js       332         4         7        321          0
~es\prefer-destructuring.js       332        34        91        207         13
~lint\lib\linter\esquery.js       332        45       119        168         11
~path-analysis\code-path.js       332        37       175        120         17
~odules\braces\lib\parse.js       331        66        45        220         55
~es\commander\lib\option.js       330        39       145        146         20
~slintrc\lib\flat-compat.js       329        61        75        193         40
~de_modules\qs\lib\parse.js       328        61        15        252         86
~r-keys\lib\visitor-keys.js       327         4        12        311          1
~e_modules\levn\lib\cast.js       327         0         1        326         50
~dules\fb-watchman\index.js       327        35        46        246         38
~es\capitalized-comments.js       325        44        93        188         16
~nbul\lib\v8-to-istanbul.js       323        30        39        254         44
~\babel-jest\build\index.js       323         2        11        310         33
~res\dist\commonjs\index.js       321         0         6        315         10
~st-snapshot\build\utils.js       320         4        17        299         45
~\lib\rules\sort-imports.js       319        26        47        246         15
~es\prefer-object-spread.js       319        37        78        204         23
~ast-uri\test\parse.test.js       318        31        40        247          0
~el\generator\lib\buffer.js       317         2         1        314         57
~\require-unicode-regexp.js       317        35        20        262         21
~el\generator\lib\buffer.js       317         2         1        314         57
~r-keys\lib\visitor-keys.js       315         4         8        303          1
~ules\operator-linebreak.js       315        26        57        232         25
~dules\resolve\test\mock.js       315        46         0        269         19
~eslint\lib\rules\strict.js       314        36        82        196         30
~\figures\dist\esm\index.js       314         0         6        308          7
~el\core\lib\config\full.js       310         2         1        307         52
~rules\newline-after-var.js       307        36        97        174         18
~orts\lib\html\annotator.js       305        19        24        262         25
~eplace-supers\lib\index.js       305         2         1        302         45
~gs\build\lib\validation.js       305         0         0        305         66
~rts\lib\import-injector.js       304         2         1        301        148
~modules\fs.realpath\old.js       303        46        61        196         55
~s\semver\classes\semver.js       302        30        29        243         76
~coverage\dist\lib\merge.js       302         1        60        241         52
~ules\cliui\build\index.cjs       302         3        30        269         57
~es\suppressions-service.js       302        44        92        166         30
~s\semver\classes\semver.js       302        30        29        243         76
~s\array-bracket-spacing.js       301        26        61        214         11
~\generators\expressions.js       300         2         1        297         48
~ib\rules\no-unreachable.js       300        43        81        176         15
~-reports\lib\text\index.js       298        41         5        252         31
~\lib\rules\semi-spacing.js       297        30        57        210         16
~overage\dist\lib\merge.mjs       297         1        60        236         52
~s\lib\definitions\utils.js       296         2         1        293         67
~slint\lib\rules\no-eval.js       295        42        75        178         18
~string-parser\lib\index.js       295         2         1        292         83
~odules\debug\src\common.js       292        42        75        175         30
~traverse\lib\path\index.js       292         2         1        289         25
~\generators\expressions.js       292         2         1        289         45
~pping\dist\gen-mapping.mjs       292         3        14        275         36
~e_modules\figures\index.js       292         8         1        283          2
~no-irregular-whitespace.js       292        34        76        182         15
~s\array-bracket-newline.js       291        29        62        200         18
~\file-entry-cache\cache.js       291        44        61        186         16
~b\generators\statements.js       290         2         1        287         35
~onv-lite\encodings\utf7.js       290        53        19        218         46
~st\elements\multiselect.js       289        55        13        221         57
~es\to-regex-range\index.js       288        60        23        205         48
~st-snapshot\build\State.js       288         3        23        262         64
~\lib\generators\modules.js       287         2         1        284         83
~tion-test-report-helper.js       287         0        10        277         18
~t-sequencer\build\index.js       287         4        73        210         43
~s\cliui\build\lib\index.js       287         0        29        258         57
~fig\files\configuration.js       287         2         1        284         43
~t\elements\autocomplete.js       285        49        16        220         46
~\lib\summarizer-factory.js       284        45         4        235         26
~rcus\build\eventHandler.js       281         2        26        253         28
~rules\func-call-spacing.js       281        23        56        202         21
~d\translate-cli-options.js       281        32        51        198         22
~nal-exit\dist\cjs\index.js       279         0        68        211         28
~es\underscore\cjs\index.js       278         3         1        274          0
~t\lib\rules\brace-style.js       278        24        36        218         13
~b\generators\statements.js       277         2         1        274         33
~ation\option-assertions.js       277         2         1        274        104
~slint\lib\rules\new-cap.js       277        41        58        178         17
~\lib\generators\modules.js       276         2         1        273         75
~nal-exit\dist\mjs\index.js       275         0        68        207         28
~ers\generated\uppercase.js       274         2         1        271          0
~insic\test\GetIntrinsic.js       274        53         0        221          3
~-signals\build\src\core.js       273         2         0        271          0
~-signals\build\src\core.js       273        38         1        234          0
~es\cognitive-complexity.js       273         0        33        240         25
~dules\debug\src\browser.js       272        27        78        167         31
~pect\test\indent-option.js       271        32         0        239          0
~\build\joinAlignedDiffs.js       271        10        24        237         45
~ib\elements\multiselect.js       271        34        16        221         57
~les\operator-assignment.js       270        27        57        186         15
